ID,Problem Title,data_shape,primary_engine,variation,composite_helper,canonical_link,opt_time_budget,opt_space_budget,draw_anatomy_bucket
3118,Friday Purchase III (SQL),Relational Table / SQL,SQL / Join,Left join / null retention,None,Canonical: Combine Two Tables,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
3119,Maximum Number of Potholes That Can Be Fixed,Number / Bit / Math,Counting,Count-driven scan,+ Sorting + Greedy Check,Canonical: Frequency counting,O(N),O(N),Container canvas (stack/queue/heap)
3120,Count the Number of Special Characters I,String / Text,Hash Set,Uniqueness / seen-set check,None,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(1),Lookup-table / bucket canvas
3121,Count the Number of Special Characters II,String / Text,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(N),O(1),Lookup-table / bucket canvas
3122,Min Operations to Satisfy Conditions,Array / Sequence,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N x 10),O(N),State-table / recurrence canvas
3123,Find Edges in Shortest Paths,Graph / Network,Shortest Path / Flow,Weighted shortest path,None,Canonical: Network Delay Time,O(E log V),O(V + E),Node-link canvas (tree/list/trie)
3124,Find Longest Calls (SQL),Relational Table / SQL,SQL / Window Function,RANK / ordering,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,Result / grouping dependent,Relational table canvas
3125,Max Number That Makes Result of Bitwise AND Zero,Number / Bit / Math,Math / Number Theory,Formula / constructive math,+ Bitmask + Tree + Segment/Fenwick,Canonical: Mathematical invariant,O(1),O(1),Strip / timeline / pointer canvas
3126,Server Utilization Time (SQL),Relational Table / SQL,SQL / Window Function,Lead/Lag neighbor rows,None,Canonical: Ranking & running-row analytics,O(N log N),Result / grouping dependent,Relational table canvas
3127,Make a Square with the Same Color,Matrix / Grid,Sliding Window,Fixed-size window,+ Counting,Canonical: Fixed-size subarray window,O(1),O(1),Grid / board canvas
3128,Right Triangles,Matrix / Grid,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(R x C),O(R+C),Grid / board canvas
3129,Find All Possible Stable Binary Arrays I,Matrix / Grid,Dynamic Programming,Memoized DP,None,Canonical: Coin Change (top-down),O(Z x O),O(Z x O),Grid / board canvas
3130,Find All Possible Stable Binary Arrays II,Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(Z x O),O(Z x O),Grid / board canvas
3131,Find the Integer Added to Array I,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Strip / timeline / pointer canvas
3132,Find the Integer Added to Array II,Number / Bit / Math,Sorting / Sweep,Order-then-scan,None,Canonical: Sort then scan,O(N log N),O(N),Coordinate-plane canvas
3133,Minimum Array End,Array / Sequence,Custom Exact Technique,Exact custom / named technique,+ Bitmask + Tree + Segment/Fenwick,Canonical: Exact custom named technique,O(log N + log X),O(1),Coordinate-plane canvas
3134,Median of Uniqueness Array,Array / Sequence,Sliding Window,Variable-size window,None,Canonical: Minimum Window / variable-size window,O(N),O(N),Lookup-table / bucket canvas
3135,Equalize Strings by Adding or Removing Characters at Ends,Tree / Trie,Tree,Recursive subtree aggregation,None,Canonical: Binary Tree recursion,O(N x M),O(1),Node-link canvas (tree/list/trie)
3136,Valid Word,String / Text,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(1),Strip / timeline / pointer canvas
3137,Minimum Number of Operations to Make Word K-Periodic,String / Text,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(1),O(N),Container canvas (stack/queue/heap)
3138,Minimum Length of Anagram Concatenation,String / Text,Hash Map,Direct keyed lookup,None,Canonical: Direct lookup dictionary,O(Divisors x N),O(1),Lookup-table / bucket canvas
3139,Minimum Cost to Make Array Elements Equal,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,+ Greedy Check + Math,Canonical: Basic filter / reshape / null-handling,O(N),O(1),Grid / board canvas
3140,Consecutive Available Seats II,Array / Sequence,Sliding Window,Variable-size window,+ Greedy Check,Canonical: Minimum Window / variable-size window,O(N),O(1),Strip / timeline / pointer canvas
3141,Maximum Hamming Distances,Intervals / Geometry / Coordinates,Math / Number Theory,Parity / algebraic invariant,+ Counting,Canonical: Mathematical invariant,O(1),O(1),Formula / invariant canvas
3142,Check if Grid Satisfies Conditions,Matrix / Grid,Matrix / Grid,Grid / board traversal,None,Canonical: Grid traversal / DP scan,O(N x M),O(1),Grid / board canvas
3143,Maximum Points Inside Square,Intervals / Geometry / Coordinates,Binary Search,Answer-space binary search,+ Sorting,Canonical: Koko Eating Bananas,O(N log N),O(1),Coordinate-plane canvas
3144,Min Substring Partition of Equal Character Frequency,Tree / Trie,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N^2),O(N),Grid / board canvas
3145,Find Products of Elements of Big Array,Array / Sequence,Binary Search,Exact / partition binary search,+ Counting + Tree + Segment/Fenwick,Canonical: Binary Search / median partition,O(log (total bits),O(1),State-table / recurrence canvas
3146,Permutation Difference between Two Strings,String / Text,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N),O(1),Lookup-table / bucket canvas
3147,Taking Maximum Energy From the Mystic Dungeon,Array / Sequence,Dynamic Programming,State-transition DP,+ Prefix/Suffix,Canonical: Coin Change / state-transition DP,O(N),O(1),State-table / recurrence canvas
3148,Maximum Difference Score in a Grid,Matrix / Grid,Matrix / Grid,Grid / board traversal,+ Prefix/Suffix,Canonical: Grid traversal / DP scan,O(M x N),O(1),Grid / board canvas
3149,Find the Minimum Cost Array Permutation,Array / Sequence,Dynamic Programming,Bitmask DP,+ Bitmask,Canonical: Traveling-state / subset DP,O(N),O(2^N · N),Range / bit-state canvas
3150,Invalid Tweets II (SQL),Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,O(N),O(1),Relational table canvas
3151,Special Array I,Number / Bit / Math,Math / Number Theory,Parity / algebraic invariant,None,Canonical: Mathematical invariant,O(N),O(1),Coordinate-plane canvas
3152,Special Array II,Array / Sequence,Prefix / Suffix Precompute,Range-sum precompute,+ Math,Canonical: Range Sum Query,O(N),O(N),Formula / invariant canvas
3153,Sum of Digit Differences of All Pairs,Number / Bit / Math,Counting,Count-driven scan,None,Canonical: Frequency counting,O(N x D),O(D x 10),Formula / invariant canvas
3154,Number of Ways to Reach the K-th Stair,Matrix / Grid,Dynamic Programming,Memoized DP,+ Math,Canonical: Coin Change (top-down),O(log K),O(log K),Grid / board canvas
3155,Maximum Number of Upgradable Servers,Number / Bit / Math,Binary Search,Answer-space binary search,+ Math,Canonical: Koko Eating Bananas,O(N),O(1),Formula / invariant canvas
3156,Employee Task Duration and Concurrent Tasks,Relational Table / SQL,SQL / Group By,Grouped aggregation,+ Intervals/Geometry,Canonical: Grouped aggregation / departmental summary,Depends on engine / grouping plan,O(N),Relational table canvas
3157,Find the Level of Tree with Minimum Sum,Tree / Trie,BFS,Level-order traversal,None,Canonical: Binary Tree Level Order Traversal,O(N),O(W),Node-link canvas (tree/list/trie)
3158,Find the XOR Sum of All Numbers Appears Twice,Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Counting,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(N),Lookup-table / bucket canvas
3159,Find Occurrences of an Element in an Array,Array / Sequence,Simulation / Scan / Precompute,Direct simulation / scan,None,Canonical: Direct simulation,O(N),O(N),Coordinate-plane canvas
3160,Find the Number of Distinct Colors Among the Balls,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(1),O(N),Lookup-table / bucket canvas
3161,Block Placement Queries,Tree / Trie,Tree,Recursive subtree aggregation,+ Hash Set + Segment/Fenwick,Canonical: Binary Tree recursion,"O(Q log (min(N, Q)",O(N + Q),Range / bit-state canvas
3162,Find the Number of Good Pairs I,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N x M),O(1),Strip / timeline / pointer canvas
3163,String Compression III,String / Text,Two Pointers,Boundary / pointer sweep,+ Counting + Greedy Check,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Lookup-table / bucket canvas
3164,Find the Number of Good Pairs II,Number / Bit / Math,Hash Map,Frequency dictionary,+ Counting,Canonical: Group Anagrams / frequency map,O(N √max),O(Max_Value),Lookup-table / bucket canvas
3165,Max Sum of Subsequence With Non-adjacent Elements,String / Text,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick + Intervals/Geometry,Canonical: Range query / update segment tree,O(Q log N),O(N),Range / bit-state canvas
3166,Calculate Parking Fees and Duration,Relational Table / SQL,SQL / Window Function,Partitioned window analytics,None,Canonical: Ranking & running-row analytics,O(N log N),O(N),Relational table canvas
3167,Better Compression of String,String / Text,Hash Map,Direct keyed lookup,+ Sorting,Canonical: Direct lookup dictionary,O(N),O(1),Lookup-table / bucket canvas
3168,Min Number of Chairs in a Waiting Room,Number / Bit / Math,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Coordinate-plane canvas
3169,Count Days Without Meetings,Intervals / Geometry / Coordinates,Sorting / Sweep,Sweep / interval ordering,None,Canonical: Merge Intervals,O(M log M),O(M),Strip / timeline / pointer canvas
3170,Lexicographically Minimum String After Removing Stars,Graph / Network,Heap,Priority-based selection,+ Stack,Canonical: Top K Frequent Elements / merge-k,O(1),O(N),Container canvas (stack/queue/heap)
3171,Find Subarray With Bitwise OR Closest to K,Number / Bit / Math,Hash Set,Uniqueness / seen-set check,+ Bitmask,Canonical: Contains Duplicate / seen-set uniqueness,O(N),O(1),Strip / timeline / pointer canvas
3172,Second Day Verification,Relational Table / SQL,SQL / Window Function,DENSE_RANK ranking,None,Canonical: Ranking & running-row analytics,Depends on engine / grouping plan,O(N),Relational table canvas
3173,Bitwise OR of Adjacent Elements,Number / Bit / Math,Custom Exact Technique,Exact custom / named technique,None,Canonical: Exact custom named technique,O(N),O(N),Lookup-table / bucket canvas
3174,Clear Digits,Number / Bit / Math,Stack,LIFO state maintenance,None,Canonical: Valid Parentheses,O(N),O(N),Container canvas (stack/queue/heap)
3175,Find The First Player to win K Games in a Row,Array / Sequence,Greedy,Local-choice optimization,None,Canonical: Gas Station / local-choice greedy,O(N),O(1),Object / process canvas
3176,Max Length of a Good Subsequence I,Matrix / Grid,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N^2 k),O(Nk),Grid / board canvas
3177,Max Length of a Good Subsequence II,Matrix / Grid,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(Nk),O(Nk),Grid / board canvas
3178,Find the Child Who Has the Ball After K Seconds,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(1),O(1),Coordinate-plane canvas
3179,Find the N-th Value After K Seconds,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(N),Coordinate-plane canvas
3180,Maximum Total Reward Using Operations I,Array / Sequence,Dynamic Programming,State-transition DP,None,Canonical: Coin Change / state-transition DP,O(N · MaxReward / 64),O(MaxReward),State-table / recurrence canvas
3181,Maximum Total Reward Using Operations II,Array / Sequence,Dynamic Programming,State-transition DP,+ Tree + Segment/Fenwick,Canonical: Coin Change / state-transition DP,O(N),O(M),State-table / recurrence canvas
3182,Find Top Scoring Students,Relational Table / SQL,SQL / Join,Key-based row matching,+ Counting,Canonical: Combine Two Tables,O(N log N),O(S),Relational table canvas
3183,The Number of Ways to Make the Sum,Relational Table / SQL,SQL / Table Ops,Filtering / reshaping / scalar SQL ops,None,Canonical: Basic filter / reshape / null-handling,O(N),O(N),State-table / recurrence canvas
3184,Count Pairs That Form a Complete Day I,Number / Bit / Math,Counting,Frequency counting,+ Math,Canonical: Frequency counting,O(1),O(1),Lookup-table / bucket canvas
3185,Count Pairs That Form a Complete Day II,Number / Bit / Math,Counting,Frequency counting,None,Canonical: Frequency counting,O(N),O(1),Lookup-table / bucket canvas
3186,Maximum Total Damage With Spell Casts,Array / Sequence,Two Pointers,Boundary / pointer sweep,+ Hash Map,Canonical: Two Sum II / Container With Most Water,O(N),O(N),Lookup-table / bucket canvas
3187,Peaks in Array,Array / Sequence,Segment Tree,Range query / update tree,+ Tree + Segment/Fenwick,Canonical: Range query / update segment tree,O(Q log N),O(N),Range / bit-state canvas
3188,Find Top Scoring Students II (SQL),Relational Table / SQL,SQL / Window Function,Partitioned window analytics,None,Canonical: Ranking & running-row analytics,O(N log N),O(N),Relational table canvas
3189,Minimum Moves to Get a Peaceful Board,Matrix / Grid,Greedy,Sort-then-greedy,+ Sorting,Canonical: Merge Intervals / scheduling greedy,O(N log N),O(N),Grid / board canvas
3190,Find Minimum Operations to Make All Elements Divisible by Three,Number / Bit / Math,Math / Number Theory,Formula / constructive math,None,Canonical: Mathematical invariant,O(N),O(1),Formula / invariant canvas
3191,Minimum Operations to Make Binary Array Elements Equal to One I,Matrix / Grid,Sliding Window,Fixed-size window,+ Greedy Check,Canonical: Fixed-size subarray window,O(3),O(1),Grid / board canvas
3192,Minimum Operations to Make Binary Array Elements Equal to One II,Number / Bit / Math,Greedy,Local-choice optimization,+ Math,Canonical: Gas Station / local-choice greedy,O(N),O(1),Formula / invariant canvas
3193,Find the Number of Inversions in Permutation,Matrix / Grid,Prefix / Suffix Precompute,Range-sum precompute,None,Canonical: Range Sum Query,O(N x MaxInv),O(MaxInv),Grid / board canvas
3194,Minimum Average of Smallest and Largest Elements,Number / Bit / Math,Two Pointers,Boundary / pointer sweep,+ Sorting,Canonical: Two Sum II / Container With Most Water,O(N log N),O(N),Coordinate-plane canvas
3195,Find the Minimum Area to Cover All 1s I,Matrix / Grid,Geometry,Coordinate transform / distance geometry,None,Canonical: Geometry / sweep / convex-hull family,O(M x N),O(1),Grid / board canvas
