ID,Problem Title,Optimised Pattern,How to Draw (Opt),Anatomy Bucket
3600,Maximize Spanning Tree Stability with Upgrades (Hard),Prim's/Kruskal's + Greedy / DP with Knapsack.,"Draw a ""skeleton"" (MST) of the graph. Draw ""Price Tags"" on each edge. Use your ""Budget Wallet"" to buy the best tags greedily or via DP.",Graph / state-network canvas
3601,Find Drivers with Improved Fuel Efficiency (Med),Common Table Expressions (CTEs) + GROUP BY aggregation + Self JOIN.,"Draw two separate mini-tables (CTE1: first_half, CTE2: second_half). Draw a line matching `driver_id` between them, crossing out rows where `H1_avg >= H2_avg`.",Relational table canvas
3602,Hexadecimal and Hexatrigesimal Conversion (Easy),"Mathematical Base Conversion (N % K, N // K) using a StringBuilder/Byte Array, followed by a single Reverse operation.","Draw an upside-down division bracket. Write quotients on bottom, remainders on the right. Read remainders from bottom to top.",Strip / timeline / pointer canvas
3603,Minimum Cost Path with Alternating Directions II (Med),"State-Space Dijkstra's Algorithm. State = (Node, Arriving_Direction).","Draw a Min-Heap. Pull the lowest cost node. If it arrived Horizontal, ONLY draw lines to its top/bottom neighbors, pushing them to the Vertical layer.",Container canvas (stack/queue/heap)
3604,Minimum Time to Reach Destination in Directed Graph (Med),Standard Dijkstra's Algorithm using an Adjacency List and a Min-Heap (Priority Queue).,"Draw circles for nodes, lines with weights. Keep a tally box for `currentTime`. Update node labels by crossing out old values and writing smaller ones.",Container canvas (stack/queue/heap)
3605,Minimum Stability Factor of Array (Hard),Sliding Window with Monotonic Deque OR Segment Tree (depending on exact stability constraint).,"Draw the array. Keep two pointers (L, R). Below it, draw a Monotonic Queue tracking max/min in current window. Cross out elements as they fall out of window.",Range / bit-state canvas
3606,Coupon Code Validator (Easy),Single-pass state machine or boolean flag tracking within a single iteration.,"Draw the string. Below it, draw 4 checkboxes (Length, Digit, Upper, Special). Iterate left to right, checking off boxes as conditions are met.",Graph / state-network canvas
3607,Power Grid Maintenance (Med),Kruskal's Algorithm with Disjoint Set Union (DSU) or Tarjan's Bridge Finding Algorithm.,"Draw nodes as isolated dots. As edges are processed, draw circles grouping the connected nodes into larger and larger sets.",Relational table canvas
3608,Minimum Time for K Connected Components (Med),"Sort edges by time, use Disjoint Set Union (DSU). Start with C=V components. Decrement C for every successful union. Stop when C == K.",List edges ordered by time. Draw N separate dots. Draw lines for edges. Cross out the current Component Count and write the new one until you hit target K.,Relational table canvas
3609,Minimum Moves to Reach Target in Grid (Hard),"0-1 BFS (Deque) or Dijkstra's Algorithm with a 3D State Space `(row, col, direction/momentum)`.","Draw a grid. Instead of putting a single checkmark for ""visited"", draw tiny directional arrows in the cell to show *how* it was reached and if it can be reused.",Container canvas (stack/queue/heap)
3610,Minimum Number of Primes to Sum to Target (Med),Sieve of Eratosthenes (precompute primes) + Unbounded Knapsack Dynamic Programming (Coin Change variant).,"Draw a row of boxes from 0 to Target. Fill `dp[0]=0`. For `dp[i]`, draw arrows pointing back to `i - prime` boxes. Pick the smallest, add 1.",Graph / state-network canvas
3611,Find Overbooked Employees (Med),"Common Table Expressions (CTEs) to group by employee_id, year, week , aggregate sums, filter > 20 , then self-join.","Draw 3 boxes (representing CTE temporary tables). Draw rows of data moving between boxes, crossing out rows that don't meet the threshold.",Relational table canvas
3612,Process String with Special Operations I (Med),Single-pass Simulation using a Stack or a dynamically sized Array/StringBuilder.,Draw the input string on top. Draw an empty vertical box (Stack) below. Cross off characters from the string and re-write them inside the box one by one.,Container canvas (stack/queue/heap)
3613,Minimize Maximum Component Cost (Med),Binary Search on Answer + Disjoint Set Union (DSU) / Connected Components Check.,"Draw a number line. Drop a pin in the middle. Draw dots grouping together. If it succeeds, cross out the entire right half of the line in one stroke.",Relational table canvas
3614,Process String with Special Operations II (Hard),Difference Array (Sweep Line) or Fenwick Tree (Binary Indexed Tree) to mathematically track shifts.,"Draw the string. Below it, draw an array of 0s. Apply a +1 and -1 boundary for an operation. At the end, do a running sum across the array to find final shifts.",Range / bit-state canvas
3615,Longest Palindromic Path in Graph (Hard),"Bi-directional Dynamic Programming (Meet-in-the-Middle) / Graph BFS. State = (u, v) .",Draw a grid where rows are Node `u` and columns are Node `v`. Shade cells dp[u][v] where a valid palindrome path connects them.,Grid / board canvas
3616,Number of Student Replacements (Med),Frequency Maps / Discrepancy Counting. (Compare counts of what you have vs. what you need).,Draw two columns of numbers/letters (Current vs Target). Draw lines connecting identical pairs. Count the items left over that have no lines.,Lookup-table / bucket canvas
3617,Find Students with Study Spiral Pattern (Hard),"2D Prefix Sums + Binary Search for Radius, treating the ""spiral rings"" as concentric square boundaries.","Draw a grid. Draw a thick red square boundary. To find its sum, point to the bottom-right corner of the outer square, and subtract the inner square's prefix sum.",Grid / board canvas
3618,Split Array by Prime Indices (Med),Sieve of Eratosthenes (precompute primes up to N) + Single Pass Prefix/Suffix sums.,"Draw an array of indices 0 to N. Highlight the prime ones. Below it, draw the actual array. Only pull down the values that sit under a highlighted index.",Graph / state-network canvas
3619,Count Islands With Total Value Divisible by K (Med),Standard BFS/DFS Connected Components. Accumulate a `running_sum` during the traversal. Modulo K at the very end of the island.,"Draw a grid. Shade cells as you ""visit"" them. Write a tally mark outside the grid summing up the shaded cells. When the island is done, write `% K`.",Grid / board canvas
3620,Network Recovery Pathways (Hard),"Dijkstra's Algorithm with Bitmask DP (State Space Search). State = (Current_Node, Visited_Mask) .","Draw nodes as circles. Next to a node, instead of writing one distance, write multiple distances mapped to binary strings (e.g., 1010 : Cost 45 , 1110 : Cost 60 ).",Range / bit-state canvas
3621,Number of Integers With Popcount-Depth Equal to K I (Hard),"Digit DP / Combinatorics. Precompute valid target ""set bit counts"", then build valid numbers bit by bit using combinations (nCr).","Draw the binary string of N. Under every '1', drop a vertical arrow down, write a '0', and next to it write the combination formula nCr for the remaining slots.",State-table / recurrence canvas
3622,Check Divisibility by Digit Sum and Product (Easy),"Early Short-Circuit Simulation. If any digit is '0', the product becomes 0 instantly (cannot divide by zero), so return false immediately.","Draw an array of digits. Sweep left to right. If you hit a 0, draw a massive red 'X' and stop. If you finish, draw a green check.",Formula / invariant canvas
3623,Count Number of Trapezoids I (Med),Group line segments by slope using a Hash Map. A trapezoid is formed by picking 2 segments with the same slope (bases) and ensuring they don't share points.,"Draw several buckets labeled with fractions (slopes). Throw segment lines into them. Inside a bucket, draw lines connecting pairs of segments to form shapes.",Lookup-table / bucket canvas
3624,Number of Integers With Popcount-Depth Equal to K II (Hard),"Advanced Digit DP + Precomputed Combinatorics Modulo 10^9+7. Find valid popcounts up to Length L, then use nCr to place bits.","Draw a long binary string. Scan left to right. When you hit a '1', add the mathematical combination of (Remaining Length) choose (Target Bits - Current Bits).",State-table / recurrence canvas
3625,Count Number of Trapezoids II (Hard),Inclusion-Exclusion Principle. (Total Trapezoids = All shapes with at least 1 pair of parallel sides MINUS Parallelograms which have 2 pairs).,"Draw a large circle labeled ""At least 1 parallel pair"". Draw a smaller inner circle labeled ""Exactly 2 parallel pairs (Parallelograms)"". Subtract the inner from the outer.",Coordinate-plane canvas
3626,Find Stores with Inventory Imbalance (Med),"Hash Map Aggregation / Group By (if SQL). Accumulate counts in a single pass, then compare against the precomputed average.","Draw an array of items. Below it, draw a few boxes (Stores). Draw lines funneling items into their respective boxes. Compare final box numbers to the target.",Relational table canvas
3627,Maximum Median Sum of Subsequences of Size 3 (Med),"Greedy Algorithm + Sorting. Sort the array. To maximize medians, pair the largest available, the *next* largest (the median), and the smallest available.","Draw a sorted array. Place pointer L at start, pointer R at end. Group elements: [arr[L], arr[R-1], arr[R]] . The median is always arr[R-1] . Move L right by 1, R left by 2.",Lookup-table / bucket canvas
3628,Maximum Number of Subsequences After One Inserting (Med),Prefix and Suffix Counts. Count existing '0's and '1's. Inserting '0' at the start pairs with all existing '1's. Inserting '1' at the end pairs with all existing '0's.,"Draw the string. Count total 'char1's. Count total 'char2's. The max increase is simply max(total_char1, total_char2) added to the base subsequence count.",Strip / timeline / pointer canvas
3629,Minimum Jumps to Reach End via Prime Teleportation (Med),"Sieve of Eratosthenes + BFS with a ""furthest reached"" pointer to strictly avoid re-scanning identical prime gaps.","Draw an array. Keep a variable max_reach . When jumping from i , only consider landing on j if j > max_reach . Update max_reach as you jump.",Graph / state-network canvas
3630,Partition Array for Maximum XOR and AND (Hard),Greedy Bit-by-Bit Construction (from MSB to LSB). Check if a partition can satisfy the current bit mask using a linear scan.,"Draw 30 horizontal layers (bits). Pour the array through the top layer. Run a quick greedy check to see if it ""passes"" the bit test. If it does, keep that bit 1 in your result tally.",Range / bit-state canvas
3631,Sort Threats by Severity and Exploitability (Med),"Built-in O(N log N) Sort with a strictly defined Custom Comparator function returning -1, 0, or 1 based on a prioritized rule cascade.","Draw two boxes (Item A, Item B). Draw a vertical list of rules. Draw a line comparing A and B at Rule 1. If equal, draw the line down to Rule 2, until a winner is found.",Strip / timeline / pointer canvas
3632,Subarrays with XOR at Least K (Hard),Prefix XOR Array combined with a Binary Trie (Prefix Tree) to count valid pairs in O(N log(Max_Value)) time.,Draw a tree where left branches are '0' and right branches are '1'. Start at the root. Compare your current bit with K's bit. Draw an arrow cleanly bypassing entire subtrees that are mathematically guaranteed to win.,Node-link canvas (tree/list/trie)
3633,Earliest Finish Time for Land and Water Rides I (Easy),"Greedy Algorithm / Sorting. Match the longest land rides with the shortest water rides (or vice versa, depending on exact problem constraints) to minimize the maximum bottleneck.","Draw two arrays of numbers. Sort one ascending, sort the other descending. Draw straight vertical lines connecting index 0 to index 0, index 1 to 1. Find the max sum.",Strip / timeline / pointer canvas
3634,Minimum Removals to Balance Array (Med),"Prefix and Suffix Sums. Precalculate even/odd sums. When you ""remove"" an element, the suffix even/odd sums simply swap roles!","Draw an array. Write `PrefEven`, `PrefOdd` before a cut point. Write `SuffEven`, `SuffOdd` after it. To test the cut, sum `PrefEven + SuffOdd` and `PrefOdd + SuffEven`.",Coordinate-plane canvas
